10
10	200	99	72	70	68	53	50	48	37	31	22	1	1	1	1	1	1	1	1	1	1
8	200	96	93	87	78	65	49	41	34	1	1	1	2	1	1	1	2
10	200	77	72	71	50	49	47	37	34	27	23	1	1	1	1	1	1	1	1	1	1
10	200	92	85	84	79	70	69	66	62	50	21	1	1	1	1	1	1	1	1	1	1
9	200	98	84	62	56	42	39	38	26	22	1	2	1	1	1	1	1	1	1
10	200	99	95	91	90	82	74	70	62	25	21	1	1	1	1	1	1	1	1	1	1
10	200	98	95	69	52	48	37	34	31	28	23	1	1	1	1	1	1	1	1	1	1
9	200	99	95	81	74	72	62	46	43	39	1	1	1	2	1	1	1	1	1
9	200	99	80	77	68	66	64	60	52	26	1	1	1	1	2	1	1	1	1
10	200	97	90	78	56	53	48	47	44	37	30	1	1	1	1	1	1	1	1	1	1
