10
10	300	97	96	87	67	50	49	45	35	19	5	1	1	1	1	1	1	1	1	1	1
10	300	97	81	67	65	62	59	36	23	9	2	1	1	1	1	1	1	1	1	1	1
9	300	88	40	35	33	27	26	16	13	10	1	1	1	1	1	1	1	2	1
10	300	93	89	79	73	68	54	40	34	6	5	1	1	1	1	1	1	1	1	1	1
9	300	92	87	80	72	58	31	20	7	5	1	1	1	2	1	1	1	1	1
10	300	98	84	75	71	56	54	47	43	29	27	1	1	1	1	1	1	1	1	1	1
9	300	79	78	67	65	50	48	36	31	14	1	1	1	1	1	1	1	1	2
10	300	98	94	89	88	80	60	56	30	29	3	1	1	1	1	1	1	1	1	1	1
10	300	94	93	73	64	58	55	52	45	37	3	1	1	1	1	1	1	1	1	1	1
10	300	93	87	85	83	67	65	59	37	21	8	1	1	1	1	1	1	1	1	1	1
