10
50	10000	2480	2421	2361	2233	2210	2208	2192	2185	2140	1889	1828	1817	1815	1753	1703	1629	1587	1542	1488	1374	1332	1203	1194	1189	1155	1121	1107	1088	1041	1030	1006	982	862	854	826	810	752	738	724	709	672	505	389	371	368	338	320	304	109	42	61	24	52	54	31	17	20	61	13	20	49	12	38	97	99	97	7	61	7	4	59	8	47	37	24	8	28	41	25	40	100	24	25	17	16	57	6	46	92	40	20	56	34	91	7	52	1	90	76	16
50	10000	2484	2459	2456	2350	2317	2220	2214	2207	2176	2121	2107	2064	2042	2031	1927	1916	1816	1716	1695	1502	1469	1379	1364	1312	1303	1233	1217	1215	1212	1117	1057	1044	999	996	958	845	827	717	570	524	517	426	425	411	390	373	320	278	201	12	42	24	49	65	83	56	61	48	60	52	30	56	16	71	91	60	16	35	25	71	46	74	66	98	88	63	14	28	60	50	31	94	29	22	69	78	6	50	61	88	4	1	81	70	44	68	8	5	71	1
50	10000	2476	2452	2349	2346	2252	2067	2023	1933	1898	1865	1707	1683	1630	1607	1595	1589	1514	1318	1305	1198	1144	1080	1065	1045	1000	983	976	965	950	892	849	847	791	622	594	591	585	551	503	475	465	448	439	420	412	337	299	297	279	98	19	78	2	68	69	54	70	61	57	88	78	81	2	41	89	88	26	62	65	96	15	69	16	87	57	48	21	20	39	84	63	79	13	8	24	93	11	60	4	86	87	72	74	85	48	70	38	46	18	39
50	10000	2491	2447	2432	2412	2331	2327	2315	2281	2268	2224	2163	2132	2035	2007	1980	1764	1728	1655	1508	1502	1493	1483	1445	1395	1313	1283	1230	1189	1166	1082	1064	986	892	887	879	856	749	694	647	640	605	586	585	548	379	351	340	34	16	1	69	16	66	19	66	54	2	86	92	92	40	28	31	3	76	21	26	92	37	36	51	18	41	100	60	85	97	31	67	63	8	91	77	57	1	89	42	1	58	68	71	43	44	40	36	85	25	77	73	51
50	10000	2494	2424	2402	2292	2273	2156	2053	2009	1860	1728	1698	1589	1568	1529	1494	1493	1459	1363	1327	1278	1277	1244	1231	1223	1188	1138	1060	1032	958	954	914	899	879	870	849	837	779	666	638	629	585	545	536	516	375	350	191	172	76	34	93	51	39	43	94	35	53	40	56	10	3	82	85	18	37	29	53	79	95	17	19	43	82	25	43	4	22	32	88	3	8	59	77	27	85	50	97	94	20	29	14	1	36	25	62	100	34	66	9	55
50	10000	2473	2420	2343	2341	2333	2231	2202	1977	1907	1885	1879	1848	1814	1809	1776	1744	1740	1690	1644	1623	1554	1533	1497	1352	1241	1230	1228	1203	1187	1014	895	883	826	800	671	636	529	480	460	384	367	315	304	280	264	232	223	185	77	29	32	29	60	78	19	22	25	52	75	64	45	90	55	88	13	82	97	41	82	42	5	50	60	12	15	31	77	44	19	42	30	54	21	10	26	29	16	58	3	69	67	98	87	49	76	10	59	62	75	83
50	10000	2493	2347	2333	2271	2207	2091	2074	2069	2043	1801	1792	1787	1762	1748	1730	1604	1601	1566	1556	1530	1512	1351	1336	1275	1204	1164	1113	1112	1087	1083	1024	1002	968	926	885	874	854	771	695	632	526	478	440	438	426	350	279	241	89	62	63	49	48	2	91	42	19	51	97	78	91	94	27	92	32	69	72	68	56	39	38	81	83	29	99	71	42	41	71	34	48	48	69	14	94	36	8	40	84	1	70	96	98	10	19	17	27	30	76	88
50	10000	2465	2416	2381	2304	2298	2012	1993	1962	1944	1888	1746	1716	1661	1638	1587	1526	1449	1433	1431	1366	1361	1266	1230	1164	1125	1115	1098	1090	946	899	872	828	736	697	645	569	550	528	515	497	477	448	434	398	371	308	229	186	110	12	35	71	85	46	80	10	33	82	52	74	56	95	10	56	53	88	53	37	64	19	69	79	100	87	62	29	93	5	60	72	6	74	49	10	39	59	14	61	32	7	12	33	90	94	14	29	81	29	42	14
50	10000	2432	2426	2423	2323	2315	2296	2253	2246	2225	2182	2113	2100	2072	2057	2033	2027	1937	1931	1765	1695	1689	1673	1608	1532	1451	1378	1338	1287	1277	1207	1198	1110	1097	857	837	825	782	760	735	670	588	474	466	449	437	426	385	371	161	5	12	41	45	16	72	75	23	88	100	47	13	5	23	32	20	4	16	44	75	62	31	61	34	36	63	88	93	38	63	10	69	39	75	96	78	48	71	28	81	2	17	45	42	17	58	8	15	80	77	32
50	10000	2425	2347	2284	2242	2199	2136	2056	2022	1800	1786	1715	1695	1674	1541	1526	1470	1391	1377	1336	1327	1268	1186	1167	1133	1121	1084	1069	976	908	870	785	753	752	752	727	723	571	564	521	498	473	380	364	348	253	232	208	187	162	143	3	47	58	83	40	6	71	32	28	53	20	78	9	68	51	89	31	71	82	85	89	81	86	35	26	61	82	42	34	77	65	36	26	87	5	22	5	73	67	75	29	53	100	79	5	4	14	7	66	40
